Cyrillic; Latin
я;ja
;
кья;qʼʲa
к1я;kʼʲa
гъв;ʁʷ
кьв;qʼʷ
хьв;xʷ
къв;ɢʷ
джв;ǯʷ
ч1в;čʼʷ
к1в;kʼʷ
;
яя;ʲaː
кя;kʲa
гя;gʲa
ня;nʲa
тя;tʲa
ся;sʲa
ля;lʲa
шя;šʲa
кв;kʷ
гв;gʷ
хв;χʷ
чв;čʷ
;
п1;pʼ
т1;tʼ
ц1;cʼ
кь;qʼ
к1;kʼ
ч1;čʼ
а1;aˤ
у1;uˤ
о1;oˤ
ы1;ɨˤ
гь;h
гъ;ʁ
г1;ɣ
дж;ǯ
хь;x
хъ;q
къ;ɢ
аь;ä
уь;ü
;
;
;
ё;ö
ю;ü
а;a
б;b
в;w
г;g
д;d
е;e
ж;ž
з;z
и;i
й;j
о;o
п;p
р;r
с;s
т;t
у;u
ф;f
х;χ
ц;c
к;k
л;l
м;m
н;n
ч;č
ш;š
ъ;ʔ
ы;ɨ
э;e
